client_id,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
0,261,1,0,True,True,2022-05-13
1,149,1,0,True,True,2022-05-19
2,226,1,0,True,True,2022-05-23
3,151,1,0,True,True,2022-05-27
4,307,1,0,True,True,2022-05-03
5,198,1,0,True,True,2022-05-05
6,139,1,0,True,True,2022-05-03
7,217,1,0,True,True,2022-05-12
8,380,1,0,True,True,2022-05-21
9,50,1,0,True,True,2022-05-05
10,55,1,0,True,True,2022-05-08
11,222,1,0,True,True,2022-05-09
12,137,1,0,True,True,2022-05-29
13,293,1,0,True,True,2022-05-14
14,146,1,0,True,True,2022-05-29
15,174,1,0,True,True,2022-05-29
16,312,1,0,True,True,2022-05-01
17,440,1,0,True,True,2022-05-09
18,353,1,0,True,True,2022-05-06
19,195,1,0,True,True,2022-05-02
20,38,1,0,True,True,2022-05-02
21,262,1,0,True,True,2022-05-16
22,342,1,0,True,True,2022-05-20
23,181,1,0,True,True,2022-05-10
24,172,1,0,True,True,2022-05-02
25,99,1,0,True,True,2022-05-28
26,93,1,0,True,True,2022-05-30
27,233,1,0,True,True,2022-05-16
28,255,2,0,True,True,2022-05-01
29,362,1,0,True,True,2022-05-22
30,348,1,0,True,True,2022-05-22
31,386,1,0,True,True,2022-05-27
32,73,1,0,True,True,2022-05-25
33,230,1,0,True,True,2022-05-14
34,208,1,0,True,True,2022-05-25
35,336,1,0,True,True,2022-05-22
36,365,1,0,True,True,2022-05-11
37,1666,1,0,True,True,2022-05-03
38,577,1,0,True,True,2022-05-02
39,137,1,0,True,True,2022-05-20
40,366,1,0,True,True,2022-05-05
41,314,1,0,True,True,2022-05-25
42,160,1,0,True,True,2022-05-22
43,212,1,0,True,True,2022-05-01
44,188,1,0,True,True,2022-05-17
45,22,1,0,True,True,2022-05-28
46,616,1,0,True,True,2022-05-15
47,178,1,0,True,True,2022-05-03
48,355,1,0,True,True,2022-05-26
49,225,2,0,True,True,2022-05-26
50,160,1,0,True,True,2022-05-03
51,266,1,0,True,True,2022-05-09
52,253,1,0,True,True,2022-05-11
53,179,1,0,True,True,2022-05-13
54,269,2,0,True,True,2022-05-12
55,135,1,0,True,True,2022-05-08
56,161,1,0,True,True,2022-05-17
57,787,1,0,True,True,2022-05-08
58,145,1,0,True,True,2022-05-08
59,174,1,0,True,True,2022-05-18
60,449,1,0,True,True,2022-05-03
61,812,1,0,True,True,2022-05-23
62,164,1,0,True,True,2022-05-27
63,366,1,0,True,True,2022-05-29
64,357,1,0,True,True,2022-05-19
65,232,1,0,True,True,2022-05-15
66,91,1,0,True,True,2022-05-16
67,273,1,0,True,True,2022-05-21
68,158,2,0,True,True,2022-05-29
69,177,1,0,True,True,2022-05-04
70,200,1,0,True,True,2022-05-28
71,172,1,0,True,True,2022-05-26
72,176,1,0,True,True,2022-05-18
73,211,1,0,True,True,2022-05-14
74,214,1,0,True,True,2022-05-26
75,1575,1,0,True,True,2022-05-20
76,349,1,0,True,True,2022-05-16
77,337,2,0,True,True,2022-05-28
78,272,1,0,True,True,2022-05-30
79,208,1,0,True,True,2022-05-21
80,193,1,0,True,True,2022-05-29
81,212,1,0,True,True,2022-05-29
82,165,2,0,True,True,2022-05-27
83,1042,1,0,True,True,2022-05-06
84,20,1,0,True,True,2022-05-23
85,246,1,0,True,True,2022-05-12
86,529,2,0,True,True,2022-05-23
87,192,1,0,True,True,2022-05-21
88,1467,1,0,True,True,2022-05-19
89,188,2,0,True,True,2022-05-17
90,180,2,0,True,True,2022-05-29
91,48,1,0,True,True,2022-05-05
92,213,2,0,True,True,2022-05-02
93,545,1,0,True,True,2022-05-27
94,583,1,0,True,True,2022-05-28
95,221,1,0,True,True,2022-05-25
96,426,1,0,True,True,2022-05-17
97,287,1,0,True,True,2022-05-27
98,197,1,0,True,True,2022-05-30
99,257,1,0,True,True,2022-05-03
100,229,1,0,True,True,2022-05-25
101,55,3,0,True,True,2022-05-30
102,400,1,0,True,True,2022-05-27
103,197,1,0,True,True,2022-05-19
104,190,1,0,True,True,2022-05-24
105,21,1,0,True,True,2022-05-08
106,300,2,0,True,True,2022-05-22
107,123,2,0,True,True,2022-05-09
108,293,1,0,True,True,2022-05-15
109,325,1,0,True,True,2022-05-09
110,514,1,0,True,True,2022-05-04
111,849,2,0,True,True,2022-05-01
112,194,1,0,True,True,2022-05-25
113,212,2,0,True,True,2022-05-04
114,337,2,0,True,True,2022-05-06
115,286,1,0,True,True,2022-05-20
116,247,2,0,True,True,2022-05-31
117,518,1,0,True,True,2022-05-24
118,364,1,0,True,True,2022-05-06
119,178,1,0,True,True,2022-05-26
120,98,1,0,True,True,2022-05-21
121,439,1,0,True,True,2022-05-01
122,139,1,0,True,True,2022-05-18
123,79,1,0,True,True,2022-05-09
124,175,1,0,True,True,2022-05-26
125,262,2,0,True,True,2022-05-21
126,61,1,0,True,True,2022-05-31
127,78,1,0,True,True,2022-05-24
128,102,2,0,True,True,2022-05-23
129,579,1,0,True,True,2022-05-12
130,143,1,0,True,True,2022-05-29
131,677,1,0,True,True,2022-05-20
132,267,1,0,True,True,2022-05-22
133,345,1,0,True,True,2022-05-12
134,185,1,0,True,True,2022-05-19
135,207,1,0,True,True,2022-05-05
136,69,2,0,True,True,2022-05-26
137,100,2,0,True,True,2022-05-19
138,125,2,0,True,True,2022-05-28
139,461,1,0,True,True,2022-05-27
140,240,1,0,True,True,2022-05-16
141,70,1,0,True,True,2022-05-22
142,193,1,0,True,True,2022-05-24
143,136,1,0,True,True,2022-05-17
144,73,1,0,True,True,2022-05-24
145,528,1,0,True,True,2022-05-06
146,541,1,0,True,True,2022-05-11
147,338,1,0,True,True,2022-05-16
148,163,1,0,True,True,2022-05-28
149,87,1,0,True,True,2022-05-25
150,301,1,0,True,True,2022-05-03
151,46,1,0,True,True,2022-05-22
152,52,1,0,True,True,2022-05-08
153,204,1,0,True,True,2022-05-03
154,155,1,0,True,True,2022-05-12
155,98,1,0,True,True,2022-05-15
156,71,1,0,True,True,2022-05-25
157,243,1,0,True,True,2022-05-29
158,186,2,0,True,True,2022-05-07
159,579,2,0,True,True,2022-05-27
160,165,2,0,True,True,2022-05-03
161,163,2,0,True,True,2022-05-09
162,46,1,0,True,True,2022-05-29
163,559,3,0,True,True,2022-05-15
164,2033,1,0,True,True,2022-05-18
165,85,1,0,True,True,2022-05-22
166,506,1,0,True,True,2022-05-04
167,114,2,0,True,True,2022-05-12
168,114,2,0,True,True,2022-05-19
169,843,2,0,True,True,2022-05-25
170,181,1,0,True,True,2022-05-12
171,427,1,0,True,True,2022-05-05
172,292,1,0,True,True,2022-05-24
173,192,1,0,True,True,2022-05-07
174,93,3,0,True,True,2022-05-02
175,128,2,0,True,True,2022-05-09
176,107,1,0,True,True,2022-05-29
177,303,2,0,True,True,2022-05-13
178,81,1,0,True,True,2022-05-11
179,270,1,0,True,True,2022-05-30
180,228,1,0,True,True,2022-05-12
181,240,1,0,True,True,2022-05-31
182,673,2,0,True,True,2022-05-20
183,233,3,0,True,True,2022-05-08
184,102,1,0,True,True,2022-05-13
185,461,1,0,True,True,2022-05-19
186,250,1,0,True,True,2022-05-20
187,130,1,0,True,True,2022-05-03
188,252,1,0,True,True,2022-05-18
189,138,1,0,True,True,2022-05-19
190,412,1,0,True,True,2022-05-10
191,179,2,0,True,True,2022-05-19
192,19,2,0,True,True,2022-05-07
193,228,2,0,True,True,2022-05-26
194,55,1,0,True,True,2022-05-31
195,717,1,0,True,True,2022-05-06
196,313,1,0,True,True,2022-05-07
197,289,1,0,True,True,2022-05-29
198,683,2,0,True,True,2022-05-25
199,1077,1,0,True,True,2022-05-29
200,146,2,0,True,True,2022-05-09
201,167,1,0,True,True,2022-05-15
202,356,2,0,True,True,2022-05-20
203,277,1,0,True,True,2022-05-13
204,172,1,0,True,True,2022-05-09
205,218,1,0,True,True,2022-05-10
206,217,1,0,True,True,2022-05-04
207,67,1,0,True,True,2022-05-26
208,291,1,0,True,True,2022-05-08
209,248,1,0,True,True,2022-05-24
210,256,1,0,True,True,2022-05-19
211,286,1,0,True,True,2022-05-25
212,477,1,0,True,True,2022-05-31
213,611,2,0,True,True,2022-05-05
214,471,1,0,True,True,2022-05-14
215,381,2,0,True,True,2022-05-22
216,251,1,0,True,True,2022-05-02
217,408,1,0,True,True,2022-05-20
218,287,1,0,True,True,2022-05-29
219,322,3,0,True,True,2022-05-09
220,216,2,0,True,True,2022-05-20
221,366,2,0,True,True,2022-05-26
222,210,1,0,True,True,2022-05-26
223,288,1,0,True,True,2022-05-19
224,168,1,0,True,True,2022-05-15
225,132,1,0,True,True,2022-05-17
226,64,2,0,True,True,2022-05-26
227,209,2,0,True,True,2022-05-08
228,410,3,0,True,True,2022-05-09
229,177,1,0,True,True,2022-05-19
230,580,2,0,True,True,2022-05-06
231,165,1,0,True,True,2022-05-23
232,127,2,0,True,True,2022-05-27
233,357,1,0,True,True,2022-05-17
234,175,1,0,True,True,2022-05-10
235,300,1,0,True,True,2022-05-06
236,136,1,0,True,True,2022-05-19
237,125,2,0,True,True,2022-05-24
238,189,2,0,True,True,2022-05-04
239,213,3,0,True,True,2022-05-02
240,238,2,0,True,True,2022-05-10
241,124,1,0,True,True,2022-05-04
242,18,1,0,True,True,2022-05-02
243,730,2,0,True,True,2022-05-17
244,40,1,0,True,True,2022-05-11
245,181,2,0,True,True,2022-05-16
246,79,1,0,True,True,2022-05-20
247,142,2,0,True,True,2022-05-06
248,389,1,0,True,True,2022-05-10
249,702,1,0,True,True,2022-05-24
250,151,1,0,True,True,2022-05-23
251,211,1,0,True,True,2022-05-07
252,117,1,0,True,True,2022-05-26
253,232,3,0,True,True,2022-05-24
254,408,2,0,True,True,2022-05-08
255,370,3,0,True,True,2022-05-15
256,179,2,0,True,True,2022-05-06
257,46,1,0,True,True,2022-05-01
258,200,1,0,True,True,2022-05-22
259,50,1,0,True,True,2022-05-04
260,181,1,0,True,True,2022-05-07
261,119,1,0,True,True,2022-05-26
262,361,1,0,True,True,2022-05-17
263,73,3,0,True,True,2022-05-16
264,67,2,0,True,True,2022-05-24
265,350,1,0,True,True,2022-05-10
266,150,2,0,True,True,2022-05-18
267,332,2,0,True,True,2022-05-09
268,611,2,0,True,True,2022-05-13
269,58,3,0,True,True,2022-05-25
270,151,1,0,True,True,2022-05-26
271,89,2,0,True,True,2022-05-10
272,152,1,0,True,True,2022-05-05
273,611,2,0,True,True,2022-05-25
274,110,2,0,True,True,2022-05-28
275,463,1,0,True,True,2022-05-16
276,962,1,0,True,True,2022-05-08
277,102,2,0,True,True,2022-05-22
278,10,4,0,True,True,2022-05-04
279,118,3,0,True,True,2022-05-31
280,92,2,0,True,True,2022-05-04
281,143,3,0,True,True,2022-05-10
282,189,3,0,True,True,2022-05-09
283,75,2,0,True,True,2022-05-18
284,189,2,0,True,True,2022-05-28
285,55,2,0,True,True,2022-05-11
286,935,3,0,True,True,2022-05-31
287,56,2,0,True,True,2022-05-25
288,5,2,0,True,True,2022-05-15
289,225,2,0,True,True,2022-05-23
290,125,2,0,True,True,2022-05-07
291,286,2,0,True,True,2022-05-09
292,206,2,0,True,True,2022-05-15
293,164,2,0,True,True,2022-05-16
294,98,2,0,True,True,2022-05-05
295,446,2,0,True,True,2022-05-03
296,742,2,0,True,True,2022-05-31
297,120,2,0,True,True,2022-05-06
298,122,3,0,True,True,2022-05-13
299,362,4,0,True,True,2022-05-25
300,357,2,0,True,True,2022-05-19
301,200,2,0,True,True,2022-05-27
302,107,2,0,True,True,2022-05-05
303,267,2,0,True,True,2022-05-13
304,248,2,0,True,True,2022-05-22
305,215,2,0,True,True,2022-05-08
306,209,2,0,True,True,2022-05-22
307,205,2,0,True,True,2022-05-15
308,261,3,0,True,True,2022-05-09
309,83,2,0,True,True,2022-05-20
310,106,3,0,True,True,2022-05-13
311,106,2,0,True,True,2022-05-27
312,108,2,0,True,True,2022-05-28
313,214,2,0,True,True,2022-05-17
314,358,2,0,True,True,2022-05-09
315,453,2,0,True,True,2022-05-07
316,364,2,0,True,True,2022-05-13
317,136,2,0,True,True,2022-05-19
318,173,2,0,True,True,2022-05-20
319,241,2,0,True,True,2022-05-07
320,224,3,0,True,True,2022-05-22
321,148,2,0,True,True,2022-05-31
322,230,2,0,True,True,2022-05-10
323,199,3,0,True,True,2022-05-15
324,196,2,0,True,True,2022-05-10
325,111,4,0,True,True,2022-05-23
326,231,3,0,True,True,2022-05-01
327,316,3,0,True,True,2022-05-16
328,240,2,0,True,True,2022-05-27
329,669,3,0,True,True,2022-05-21
330,425,2,0,True,True,2022-05-31
331,121,2,0,True,True,2022-05-09
332,174,5,0,True,True,2022-05-30
333,88,5,0,True,True,2022-05-07
334,313,3,0,True,True,2022-05-01
335,135,4,0,True,True,2022-05-28
336,152,2,0,True,True,2022-05-27
337,402,3,0,True,True,2022-05-29
338,221,2,0,True,True,2022-05-19
339,213,2,0,True,True,2022-05-10
340,144,3,0,True,True,2022-05-05
341,158,3,0,True,True,2022-05-11
342,220,3,0,True,True,2022-05-22
343,325,2,0,True,True,2022-05-26
344,254,2,0,True,True,2022-05-02
345,503,2,0,True,True,2022-05-24
346,680,2,0,True,True,2022-05-26
347,421,4,0,True,True,2022-05-25
348,130,3,0,True,True,2022-05-23
349,164,2,0,True,True,2022-05-03
350,174,3,0,True,True,2022-05-06
351,113,2,0,True,True,2022-05-01
352,195,2,0,True,True,2022-05-22
353,347,3,0,True,True,2022-05-01
354,208,2,0,True,True,2022-05-20
355,404,4,0,True,True,2022-05-07
356,396,2,0,True,True,2022-05-02
357,98,2,0,True,True,2022-05-21
358,229,3,0,True,True,2022-05-28
359,350,2,0,True,True,2022-05-27
360,88,3,0,True,True,2022-05-16
361,379,2,0,True,True,2022-05-30
362,168,3,0,True,True,2022-05-08
363,190,3,0,True,True,2022-05-22
364,158,1,0,True,True,2022-05-24
365,210,1,0,True,True,2022-05-05
366,102,1,0,True,True,2022-05-24
367,306,1,0,True,True,2022-05-08
368,64,1,0,True,True,2022-05-26
369,218,1,0,True,True,2022-05-12
370,77,1,0,True,True,2022-05-02
371,54,1,0,True,True,2022-05-04
372,344,1,0,True,True,2022-05-01
373,195,1,0,True,True,2022-05-16
374,202,1,0,True,True,2022-05-16
375,286,1,0,True,True,2022-05-21
376,278,1,0,True,True,2022-05-11
377,189,1,0,True,True,2022-05-01
378,83,1,0,True,True,2022-05-28
379,18,1,0,True,True,2022-05-26
380,184,2,0,True,True,2022-05-18
381,235,1,0,True,True,2022-05-13
382,290,1,0,True,True,2022-05-21
383,133,1,0,True,True,2022-05-24
384,318,1,0,True,True,2022-05-08
385,437,1,0,True,True,2022-05-07
386,402,1,0,True,True,2022-05-13
387,501,4,0,True,True,2022-05-31
388,1201,1,0,True,True,2022-05-02
389,1030,1,0,True,True,2022-05-10
390,253,1,0,True,True,2022-05-03
391,149,1,0,True,True,2022-05-29
392,144,1,0,True,True,2022-05-10
393,69,1,0,True,True,2022-05-24
394,243,1,0,True,True,2022-05-23
395,769,2,0,True,True,2022-05-06
396,135,3,0,True,True,2022-05-03
397,231,1,0,True,True,2022-05-04
398,442,2,0,True,True,2022-05-17
399,199,1,0,True,True,2022-05-05
400,455,1,0,True,True,2022-05-22
401,152,1,0,True,True,2022-05-21
402,124,1,0,True,True,2022-05-23
403,424,1,0,True,True,2022-05-19
404,43,1,0,True,True,2022-05-16
405,154,1,0,True,True,2022-05-04
406,393,1,0,True,True,2022-05-26
407,203,2,0,True,True,2022-05-03
408,140,2,0,True,True,2022-05-23
409,326,1,0,True,True,2022-05-30
410,483,1,0,True,True,2022-05-03
411,259,1,0,True,True,2022-05-12
412,227,1,0,True,True,2022-05-01
413,673,1,0,True,True,2022-05-01
414,576,1,0,True,True,2022-05-23
415,180,2,0,True,True,2022-05-24
416,90,1,0,True,True,2022-05-18
417,505,1,0,True,True,2022-05-22
418,245,1,0,True,True,2022-05-03
419,186,1,0,True,True,2022-05-23
420,208,1,0,True,True,2022-05-05
421,623,1,0,True,True,2022-05-30
422,180,1,0,True,True,2022-05-08
423,496,3,0,True,True,2022-05-11
424,118,1,0,True,True,2022-05-20
425,102,2,0,True,True,2022-05-16
426,342,1,0,True,True,2022-05-09
427,225,1,0,True,True,2022-05-01
428,185,3,0,True,True,2022-05-03
429,276,1,0,True,True,2022-05-12
430,87,1,0,True,True,2022-05-29
431,744,1,0,True,True,2022-05-13
432,262,1,0,True,True,2022-05-22
433,271,1,0,True,True,2022-05-25
434,141,1,0,True,True,2022-05-26
435,198,2,0,True,True,2022-05-05
436,150,1,0,True,True,2022-05-13
437,241,1,0,True,True,2022-05-22
438,196,1,0,True,True,2022-05-18
439,149,1,0,True,True,2022-05-18
440,264,1,0,True,True,2022-05-11
441,246,1,0,True,True,2022-05-22
442,309,2,0,True,True,2022-05-27
443,140,1,0,True,True,2022-05-20
444,175,1,0,True,True,2022-05-13
445,136,1,0,True,True,2022-05-07
446,1623,1,0,True,True,2022-05-29
447,50,1,0,True,True,2022-05-16
448,101,1,0,True,True,2022-05-15
449,144,1,0,True,True,2022-05-09
450,238,1,0,True,True,2022-05-17
451,354,1,0,True,True,2022-05-13
452,451,2,0,True,True,2022-05-07
453,159,1,0,True,True,2022-05-23
454,170,1,0,True,True,2022-05-19
455,243,1,0,True,True,2022-05-30
456,141,2,0,True,True,2022-05-03
457,112,1,0,True,True,2022-05-08
458,262,2,0,True,True,2022-05-01
459,53,1,0,True,True,2022-05-09
460,134,1,0,True,True,2022-05-25
461,204,4,0,True,True,2022-05-21
462,678,1,0,True,True,2022-05-22
463,182,1,0,True,True,2022-05-18
464,162,1,0,True,True,2022-05-26
465,177,1,0,True,True,2022-05-05
466,27,1,0,True,True,2022-05-12
467,699,3,0,True,True,2022-05-20
468,358,1,0,True,True,2022-05-13
469,1677,1,0,True,True,2022-05-18
470,529,1,0,True,True,2022-05-10
471,310,1,0,True,True,2022-05-04
472,47,1,0,True,True,2022-05-11
473,379,1,0,True,True,2022-05-16
474,30,2,0,True,True,2022-05-30
475,472,1,0,True,True,2022-05-22
476,113,1,0,True,True,2022-05-06
477,114,1,0,True,True,2022-05-27
478,116,1,0,True,True,2022-05-03
479,448,1,0,True,True,2022-05-23
480,264,1,0,True,True,2022-05-05
481,169,1,0,True,True,2022-05-16
482,145,1,0,True,True,2022-05-04
483,288,1,0,True,True,2022-05-24
484,381,1,0,True,True,2022-05-31
485,176,2,0,True,True,2022-05-30
486,215,1,0,True,True,2022-05-02
487,278,1,0,True,True,2022-05-06
488,188,2,0,True,True,2022-05-02
489,174,2,0,True,True,2022-05-06
490,226,2,0,True,True,2022-05-18
491,111,2,0,True,True,2022-05-17
492,157,2,0,True,True,2022-05-10
493,46,1,0,True,True,2022-05-28
494,49,1,0,True,True,2022-05-29
495,374,1,0,True,True,2022-05-16
496,349,1,0,True,True,2022-05-01
497,325,1,0,True,True,2022-05-16
498,233,2,0,True,True,2022-05-10
499,531,1,0,True,True,2022-05-02
500,153,1,0,True,True,2022-05-19
501,80,1,0,True,True,2022-05-04
502,198,1,0,True,True,2022-05-25
503,568,1,0,True,True,2022-05-08
504,918,1,0,True,True,2022-05-31
505,82,1,0,True,True,2022-05-10
506,198,3,0,True,True,2022-05-10
507,211,1,0,True,True,2022-05-11
508,120,1,0,True,True,2022-05-12
509,269,1,0,True,True,2022-05-25
510,128,1,0,True,True,2022-05-09
511,166,2,0,True,True,2022-05-17
512,211,1,0,True,True,2022-05-19
513,369,1,0,True,True,2022-05-11
514,91,1,0,True,True,2022-05-21
515,267,2,0,True,True,2022-05-04
516,198,1,0,True,True,2022-05-28
517,371,2,0,True,True,2022-05-08
518,288,2,0,True,True,2022-05-11
519,221,1,0,True,True,2022-05-08
520,427,1,0,True,True,2022-05-01
521,310,1,0,True,True,2022-05-23
522,158,1,0,True,True,2022-05-04
523,198,1,0,True,True,2022-05-19
524,145,1,0,True,True,2022-05-02
525,247,1,0,True,True,2022-05-04
526,102,1,0,True,True,2022-05-07
527,179,2,0,True,True,2022-05-06
528,73,1,0,True,True,2022-05-16
529,263,2,0,True,True,2022-05-22
530,342,2,0,True,True,2022-05-07
531,41,1,0,True,True,2022-05-25
532,13,1,0,True,True,2022-05-16
533,79,2,0,True,True,2022-05-03
534,358,1,0,True,True,2022-05-29
535,162,1,0,True,True,2022-05-20
536,150,1,0,True,True,2022-05-30
537,26,1,0,True,True,2022-05-23
538,250,1,0,True,True,2022-05-29
539,792,1,0,True,True,2022-05-09
540,146,1,0,True,True,2022-05-23
541,440,1,0,True,True,2022-05-26
542,289,1,0,True,True,2022-05-18
543,242,2,0,True,True,2022-05-29
544,123,1,0,True,True,2022-05-25
545,161,2,0,True,True,2022-05-01
546,268,2,0,True,True,2022-05-28
547,259,2,0,True,True,2022-05-03
548,26,1,0,True,True,2022-05-25
549,153,1,0,True,True,2022-05-03
550,424,2,0,True,True,2022-05-04
551,375,1,0,True,True,2022-05-22
552,179,2,0,True,True,2022-05-11
553,383,1,0,True,True,2022-05-14
554,440,1,0,True,True,2022-05-25
555,195,1,0,True,True,2022-05-13
556,1297,3,0,True,True,2022-05-02
557,217,1,0,True,True,2022-05-12
558,87,1,0,True,True,2022-05-19
559,427,1,0,True,True,2022-05-21
560,189,1,0,True,True,2022-05-18
561,502,1,0,True,True,2022-05-22
562,260,1,0,True,True,2022-05-27
563,209,1,0,True,True,2022-05-06
564,179,1,0,True,True,2022-05-12
565,179,1,0,True,True,2022-05-16
566,69,1,0,True,True,2022-05-23
567,105,2,0,True,True,2022-05-14
568,266,3,0,True,True,2022-05-29
569,87,2,0,True,True,2022-05-21
570,524,2,0,True,True,2022-05-22
571,155,2,0,True,True,2022-05-17
572,162,2,0,True,True,2022-05-25
573,316,4,0,True,True,2022-05-27
574,352,2,0,True,True,2022-05-24
575,695,3,0,True,True,2022-05-30
576,76,4,0,True,True,2022-05-31
577,535,2,0,True,True,2022-05-12
578,310,2,0,True,True,2022-05-08
579,390,3,0,True,True,2022-05-02
580,369,1,0,True,True,2022-05-13
581,112,2,0,True,True,2022-05-02
582,79,1,0,True,True,2022-05-13
583,140,2,0,True,True,2022-05-28
584,315,1,0,True,True,2022-05-18
585,262,2,0,True,True,2022-05-07
586,174,2,0,True,True,2022-05-06
587,424,2,0,True,True,2022-05-10
588,135,1,0,True,True,2022-05-06
589,36,5,0,True,True,2022-05-09
590,1906,3,0,True,True,2022-05-15
591,219,2,0,True,True,2022-05-06
592,135,1,0,True,True,2022-05-20
593,147,2,0,True,True,2022-05-26
594,407,2,0,True,True,2022-05-23
595,402,4,0,True,True,2022-05-14
596,209,1,0,True,True,2022-05-30
597,92,2,0,True,True,2022-05-11
598,208,1,0,True,True,2022-05-07
599,193,1,0,True,True,2022-05-27
600,65,1,0,True,True,2022-05-31
601,284,2,0,True,True,2022-05-10
602,285,1,0,True,True,2022-05-25
603,231,1,0,True,True,2022-05-14
604,278,1,0,True,True,2022-05-07
605,389,1,0,True,True,2022-05-22
606,158,1,0,True,True,2022-05-23
607,78,2,0,True,True,2022-05-06
608,258,5,0,True,True,2022-05-22
609,87,1,0,True,True,2022-05-18
610,147,2,0,True,True,2022-05-27
611,635,1,0,True,True,2022-05-01
612,289,1,0,True,True,2022-05-22
613,170,3,0,True,True,2022-05-31
614,802,1,0,True,True,2022-05-20
615,381,2,0,True,True,2022-05-13
616,218,4,0,True,True,2022-05-31
617,57,2,0,True,True,2022-05-01
618,304,2,0,True,True,2022-05-06
619,241,3,0,True,True,2022-05-11
620,230,1,0,True,True,2022-05-01
621,79,4,0,True,True,2022-05-11
622,262,3,0,True,True,2022-05-04
623,392,2,0,True,True,2022-05-07
624,201,2,0,True,True,2022-05-27
625,145,1,0,True,True,2022-05-06
626,252,1,0,True,True,2022-05-01
627,329,1,0,True,True,2022-05-18
628,328,2,0,True,True,2022-05-22
629,191,2,0,True,True,2022-05-16
630,116,2,0,True,True,2022-05-29
631,246,1,0,True,True,2022-05-03
632,532,2,0,True,True,2022-05-29
633,293,1,0,True,True,2022-05-30
634,416,3,0,True,True,2022-05-21
635,37,2,0,True,True,2022-05-23
636,132,2,0,True,True,2022-05-15
637,530,2,0,True,True,2022-05-13
638,175,3,0,True,True,2022-05-05
639,90,5,0,True,True,2022-05-30
640,524,2,0,True,True,2022-05-17
641,29,3,0,True,True,2022-05-06
642,311,2,0,True,True,2022-05-07
643,412,1,0,True,True,2022-05-25
644,211,2,0,True,True,2022-05-08
645,312,3,0,True,True,2022-05-30
646,392,1,0,True,True,2022-05-27
647,191,1,0,True,True,2022-05-10
648,284,2,0,True,True,2022-05-29
649,328,1,0,True,True,2022-05-21
650,100,1,0,True,True,2022-05-10
651,226,1,0,True,True,2022-05-05
652,507,1,0,True,True,2022-05-25
653,333,2,0,True,True,2022-05-18
654,128,2,0,True,True,2022-05-13
655,322,2,0,True,True,2022-05-15
656,202,4,0,True,True,2022-05-17
657,92,2,0,True,True,2022-05-12
658,205,2,0,True,True,2022-05-30
659,739,3,0,True,True,2022-05-17
