client_id,age,job,marital,education,credit_default,mortgage
0,56,housemaid,married,basic_4y,True,True
1,57,services,married,high_school,True,True
2,37,services,married,high_school,True,True
3,40,admin_,married,basic_6y,True,True
4,56,services,married,high_school,True,True
5,45,services,married,basic_9y,True,True
6,59,admin_,married,professional_course,True,True
7,41,blue-collar,married,,True,True
8,24,technician,single,professional_course,True,True
9,25,services,single,high_school,True,True
10,41,blue-collar,married,,True,True
11,25,services,single,high_school,True,True
12,29,blue-collar,single,high_school,True,True
13,57,housemaid,divorced,basic_4y,True,True
14,35,blue-collar,married,basic_6y,True,True
15,54,retired,married,basic_9y,True,True
16,35,blue-collar,married,basic_6y,True,True
17,46,blue-collar,married,basic_6y,True,True
18,50,blue-collar,married,basic_9y,True,True
19,39,management,single,basic_9y,True,True
20,30,unemployed,married,high_school,True,True
21,55,blue-collar,married,basic_4y,True,True
22,55,retired,single,high_school,True,True
23,41,technician,single,high_school,True,True
24,37,admin_,married,high_school,True,True
25,35,technician,married,university_degree,True,True
26,59,technician,married,,True,True
27,39,self-employed,married,basic_9y,True,True
28,54,technician,single,university_degree,True,True
29,55,unknown,married,university_degree,True,True
30,46,admin_,married,,True,True
31,59,technician,married,,True,True
32,49,blue-collar,married,,True,True
33,54,management,married,basic_4y,True,True
34,54,blue-collar,divorced,basic_4y,True,True
35,55,unknown,married,basic_4y,True,True
36,34,services,married,high_school,True,True
37,52,technician,married,basic_9y,True,True
38,41,admin_,married,university_degree,True,True
39,56,technician,married,basic_4y,True,True
40,58,management,unknown,university_degree,True,True
41,32,entrepreneur,married,high_school,True,True
42,38,admin_,single,professional_course,True,True
43,57,admin_,married,university_degree,True,True
44,44,admin_,married,university_degree,True,True
45,42,technician,single,professional_course,True,True
46,57,admin_,married,university_degree,True,True
47,40,blue-collar,married,basic_9y,True,True
48,35,admin_,married,university_degree,True,True
49,45,blue-collar,married,basic_9y,True,True
50,54,admin_,married,high_school,True,True
51,39,housemaid,married,basic_4y,True,True
52,60,admin_,married,high_school,True,True
53,53,admin_,single,professional_course,True,True
54,55,blue-collar,married,basic_4y,True,True
55,55,technician,married,professional_course,True,True
56,50,management,married,university_degree,True,True
57,45,services,married,high_school,True,True
58,55,unemployed,married,professional_course,True,True
59,25,technician,single,university_degree,True,True
60,47,entrepreneur,married,university_degree,True,True
61,51,blue-collar,married,basic_9y,True,True
62,42,blue-collar,married,basic_6y,True,True
63,42,blue-collar,married,basic_6y,True,True
64,48,admin_,married,high_school,True,True
65,37,admin_,married,university_degree,True,True
66,44,blue-collar,single,basic_9y,True,True
67,33,admin_,married,,True,True
68,56,admin_,married,basic_9y,True,True
69,44,blue-collar,single,basic_4y,True,True
70,41,management,married,basic_6y,True,True
71,44,management,divorced,university_degree,True,True
72,47,admin_,married,university_degree,True,True
73,57,unknown,married,,True,True
74,37,admin_,married,university_degree,True,True
75,41,blue-collar,divorced,basic_4y,True,True
76,55,technician,married,university_degree,True,True
77,33,services,married,high_school,True,True
78,55,management,married,,True,True
79,42,blue-collar,married,basic_9y,True,True
80,50,blue-collar,married,basic_4y,True,True
81,51,blue-collar,married,basic_4y,True,True
82,38,admin_,married,high_school,True,True
83,49,entrepreneur,married,university_degree,True,True
84,38,technician,single,university_degree,True,True
85,31,admin_,divorced,high_school,True,True
86,41,management,married,basic_6y,True,True
87,39,admin_,married,university_degree,True,True
88,49,technician,married,basic_9y,True,True
89,34,admin_,married,high_school,True,True
90,35,admin_,married,university_degree,True,True
91,57,unknown,married,,True,True
92,60,admin_,married,,True,True
93,33,unemployed,married,basic_9y,True,True
94,42,blue-collar,married,basic_6y,True,True
95,45,services,married,professional_course,True,True
96,42,management,married,university_degree,True,True
97,53,admin_,divorced,university_degree,True,True
98,37,technician,single,professional_course,True,True
99,44,blue-collar,married,basic_6y,True,True
100,54,services,married,,True,True
101,49,blue-collar,married,basic_4y,True,True
102,54,services,married,,True,True
103,52,admin_,divorced,university_degree,True,True
104,52,admin_,divorced,university_degree,True,True
105,43,services,single,high_school,True,True
106,34,housemaid,married,basic_6y,True,True
107,35,admin_,married,high_school,True,True
108,42,entrepreneur,married,,True,True
109,43,technician,married,,True,True
110,60,retired,divorced,university_degree,True,True
111,58,unemployed,married,basic_4y,True,True
112,35,services,divorced,high_school,True,True
113,55,blue-collar,married,basic_9y,True,True
114,37,management,married,university_degree,True,True
115,36,blue-collar,married,high_school,True,True
116,52,admin_,divorced,university_degree,True,True
117,57,blue-collar,divorced,,True,True
118,56,admin_,married,,True,True
119,48,blue-collar,divorced,basic_4y,True,True
120,40,blue-collar,married,high_school,True,True
121,49,blue-collar,divorced,high_school,True,True
122,41,services,married,high_school,True,True
123,45,technician,married,high_school,True,True
124,32,admin_,married,university_degree,True,True
